Designator,Mid X,Mid Y,Layer,Rotation
C1, 0.00,43.50,Top,270.0
C2,-14.88,40.88,Top,290.0
C3,-27.96,33.32,Top,310.0
C4,-37.67,21.75,Top,330.0
C5,-42.84, 7.55,Top,350.0
C6,-42.84,-7.55,Top,10.0
C7,-37.67,-21.75,Top,30.0
C8,-27.96,-33.32,Top,50.0
C9,-14.88,-40.88,Top,70.0
C10, 0.00,-43.50,Top,90.0
C11,14.88,-40.88,Top,110.0
C12,27.96,-33.32,Top,130.0
C13,37.67,-21.75,Top,150.0
C14,42.84,-7.55,Top,170.0
C15,42.84, 7.55,Top,190.0
C16,37.67,21.75,Top,210.0
C17,27.96,33.32,Top,230.0
C18,14.88,40.88,Top,250.0
D1, 3.75,42.84,Top,355.0
D2,-3.75,42.84,Top,5.0
D3,-11.13,41.53,Top,15.0
D4,-18.17,38.97,Top,25.0
D5,-24.66,35.22,Top,35.0
D6,-30.41,30.41,Top,45.0
D7,-35.22,24.66,Top,55.0
D8,-38.97,18.17,Top,65.0
D9,-41.53,11.13,Top,75.0
D10,-42.84, 3.75,Top,85.0
D11,-42.84,-3.75,Top,95.0
D12,-41.53,-11.13,Top,105.0
D13,-38.97,-18.17,Top,115.0
D14,-35.22,-24.66,Top,125.0
D15,-30.41,-30.41,Top,135.0
D16,-24.66,-35.22,Top,145.0
D17,-18.17,-38.97,Top,155.0
D18,-11.13,-41.53,Top,165.0
D19,-3.75,-42.84,Top,175.0
D20, 3.75,-42.84,Top,185.0
D21,11.13,-41.53,Top,195.0
D22,18.17,-38.97,Top,205.0
D23,24.66,-35.22,Top,215.0
D24,30.41,-30.41,Top,225.0
D25,35.22,-24.66,Top,235.0
D26,38.97,-18.17,Top,245.0
D27,41.53,-11.13,Top,255.0
D28,42.84,-3.75,Top,265.0
D29,42.84, 3.75,Top,275.0
D30,41.53,11.13,Top,285.0
D31,38.97,18.17,Top,295.0
D32,35.22,24.66,Top,305.0
D33,30.41,30.41,Top,315.0
D34,24.66,35.22,Top,325.0
D35,18.17,38.97,Top,335.0
D36,11.13,41.53,Top,345.0
J1,49.36,28.50,Top,300.0
J2,-49.36,28.50,Top,60.0
J3, 0.00,-57.00,Top,180.0
